ENSG00000251562,ENSG00000167996,ENSG00000087086,ENSG00000198804,target_type
5.6503844,6.4080844,6.132005,4.7420735,macrophage
5.020341,5.4488106,4.1562343,4.623597,classical monocyte
5.419636,4.89895,6.4129353,4.804385,alternatively activated macrophage
4.7644386,5.8539524,6.264122,4.997963,macrophage
4.527448,5.925095,4.8570905,4.946571,classical monocyte
5.6600947,5.5586853,5.2237535,4.9378653,classical monocyte
5.1004825,5.688429,5.3703485,5.04747,classical monocyte
3.8138194,5.3900146,3.142496,4.7902527,conventional dendritic cell
5.024338,6.4656954,5.2230115,4.872745,inflammatory macrophage
4.69384,5.8993325,4.9841847,5.208923,classical monocyte
4.2511234,5.9365606,4.5656834,4.5656834,alternatively activated macrophage
4.1407013,5.4252186,4.2679825,5.1327314,classical monocyte
4.0961432,5.903712,3.0128076,4.4149356,conventional dendritic cell
4.3455105,6.2175903,3.9465067,4.9047923,conventional dendritic cell
5.0416417,6.4485693,4.284429,4.540785,inflammatory macrophage
4.539097,5.2347507,5.598418,5.0827913,inflammatory macrophage
5.19999,5.648708,4.7764015,4.9850974,classical monocyte
4.5643063,7.573055,3.7489655,4.256669,myeloid dendritic cell
4.1904707,6.022646,3.7536166,4.6411467,classical monocyte
4.085935,6.2739267,4.395057,5.207573,inflammatory macrophage
5.3701277,5.9022827,5.898838,4.9640617,macrophage
3.970076,6.127959,5.0223455,4.969595,classical monocyte
4.6911683,6.518505,3.8037035,4.5764627,conventional dendritic cell
5.385833,6.176552,4.767726,4.767726,classical monocyte
4.870989,6.2198305,4.738552,4.585859,classical monocyte
4.3344207,6.1734424,2.9056735,4.823591,conventional dendritic cell
4.4859595,5.665265,5.0563827,5.373098,classical monocyte
5.344561,5.367097,6.734864,5.5184546,macrophage
4.1744623,5.650558,1.9594893,4.5265117,conventional dendritic cell
4.712235,6.1037655,3.8555608,4.479302,conventional dendritic cell
4.1629124,5.5752287,5.087728,4.783029,inflammatory macrophage
4.793227,6.239529,4.600845,5.002957,classical monocyte
4.751025,5.9534526,4.349872,4.4150057,conventional dendritic cell
